feature,importance
ord__PAY_0,0.4360867
ord__PAY_2,0.13947545
ord__PAY_3,0.0448714
ord__PAY_4,0.038218297
ord__PAY_5,0.030311914
ord__PAY_6,0.020805389
cat__SEX_2,0.01890746
cat__EDUCATION_5,0.017722102
num__PAY_AMT2,0.017313695
num__LIMIT_BAL,0.016474135
num__BILL_AMT1,0.016048769
num__PAY_AMT3,0.014189821
cat__MARRIAGE_2,0.012388652
num__BILL_AMT2,0.012249818
num__PAY_AMT1,0.01210364
num__PAY_AMT6,0.011515563
num__PAY_AMT4,0.0112328045
cat__MARRIAGE_0,0.011113375
num__BILL_AMT4,0.011037979
num__BILL_AMT3,0.010881832
num__PAY_AMT5,0.010278215
num__BILL_AMT5,0.010173665
num__BILL_AMT6,0.010136544
cat__SEX_1,0.01011428
cat__EDUCATION_1,0.00973143
cat__EDUCATION_2,0.00936119
num__AGE,0.0091446405
cat__MARRIAGE_1,0.008834561
cat__EDUCATION_4,0.007461985
cat__EDUCATION_3,0.007335009
cat__MARRIAGE_3,0.0044797137
cat__EDUCATION_0,0.0
cat__EDUCATION_6,0.0
